client_num,customer_age,gender,dependent_count,education_level,marital_status,state_cd,zipcode,car_owner,house_owner,personal_loan,contact,customer_job,income,cust_satisfaction_score
708211383,44,Female,3,Uneducated,Single,TX,91750,no,yes,no,cellular,Retirees,44883.00,3.00
708212658,40,Female,3,High School,Single,TX,91750,no,no,yes,unknown,Retirees,16041.00,2.00
708216108,58,Female,1,Unknown,Married,NY,91750,no,yes,no,cellular,Businessman,24221.00,3.00
708217758,57,Female,1,Graduate,Single,CA,91750,no,yes,no,cellular,Selfemployeed,14975.00,3.00
708219108,38,Male,2,Graduate,Married,CA,91750,yes,no,no,cellular,Blue-collar,102561.00,3.00
708219858,53,Female,1,Graduate,Unknown,CA,91750,no,yes,no,cellular,White-collar,56697.00,2.00
708222558,60,Female,1,Uneducated,Single,NJ,91750,no,no,no,cellular,Retirees,53022.00,3.00
708223383,51,Female,3,Uneducated,Married,NY,91750,yes,no,yes,cellular,Businessman,32013.00,1.00
708224133,39,Male,4,Graduate,Single,NJ,91750,yes,no,no,cellular,Selfemployeed,62192.00,2.00
708225483,38,Female,2,Post-Graduate,Married,CA,91750,yes,yes,no,cellular,Selfemployeed,55061.00,2.00
708226833,50,Male,2,High School,Married,NY,91750,no,no,no,unknown,Businessman,127461.00,3.00
708229308,37,Male,1,Uneducated,Single,NY,91750,yes,no,no,cellular,Businessman,100839.00,2.00
708231183,39,Female,1,Uneducated,Single,CA,91750,no,no,no,unknown,Retirees,31127.00,2.00
708234558,62,Male,0,High School,Single,TX,91750,no,yes,no,cellular,Selfemployeed,67827.00,3.00
708238833,38,Female,2,High School,Married,NY,91750,no,yes,no,cellular,Blue-collar,12994.00,1.00
708241233,38,Female,1,Graduate,Married,CA,91750,no,yes,no,unknown,Selfemployeed,5225.00,1.00
708242283,44,Female,1,Unknown,Single,TX,91750,no,yes,yes,cellular,Govt,35755.00,3.00
708243483,60,Female,2,High School,Single,TX,91750,yes,no,no,cellular,Retirees,24156.00,2.00
708244458,26,Male,0,Graduate,Single,NY,91750,no,yes,no,cellular,White-collar,37888.00,3.00
708245808,41,Male,0,High School,Unknown,FL,91750,yes,yes,no,telephone,Businessman,145701.00,1.00
708248358,61,Female,2,Graduate,Married,CA,90094,yes,no,no,unknown,Businessman,186885.00,1.00
708249708,39,Female,2,Graduate,Single,CA,91750,yes,no,no,cellular,Selfemployeed,14975.00,1.00
708252108,50,Female,1,Graduate,Single,FL,91750,no,yes,no,cellular,Selfemployeed,49229.00,2.00
708253458,45,Male,2,Unknown,Married,CA,91750,no,yes,no,cellular,Govt,81622.00,2.00
708254733,56,Male,2,Graduate,Married,CA,91750,no,no,no,unknown,Blue-collar,95152.00,2.00
708255633,47,Female,3,Graduate,Single,FL,91750,yes,yes,no,telephone,Blue-collar,35666.00,2.00
708260208,48,Female,3,Graduate,Married,TX,91750,no,yes,no,cellular,White-collar,57686.00,1.00
708266883,37,Female,2,Graduate,Married,TX,91750,no,yes,yes,cellular,Selfemployeed,25423.00,3.00
708267858,33,Female,4,High School,Single,NJ,91750,no,no,no,cellular,Selfemployeed,21500.00,3.00
708269583,41,Female,1,High School,Single,NY,91750,no,no,no,cellular,White-collar,47653.00,3.00
708271833,48,Female,3,Graduate,Married,CA,91750,no,yes,yes,unknown,Govt,37680.00,3.00
708272808,41,Female,2,Unknown,Single,FL,91750,yes,yes,no,cellular,White-collar,38560.00,2.00
708273858,39,Female,1,Graduate,Single,NY,91750,no,no,no,cellular,White-collar,41203.00,1.00
708276183,54,Female,2,Graduate,Married,TX,91750,no,no,no,cellular,Selfemployeed,14975.00,2.00
708281433,40,Female,3,Uneducated,Single,NY,91750,yes,no,no,cellular,Businessman,43626.00,1.00
708285108,44,Male,4,Unknown,Married,TX,91750,yes,no,no,cellular,White-collar,131861.00,1.00
708286683,38,Male,1,Graduate,Unknown,FL,91750,yes,no,no,cellular,White-collar,83306.00,2.00
708288108,29,Male,0,Graduate,Single,NJ,91750,no,no,no,cellular,Selfemployeed,1250.00,3.00
708290208,63,Female,2,Graduate,Single,NY,91750,yes,no,no,cellular,White-collar,34835.00,2.00
708291633,54,Male,1,Unknown,Single,FL,91750,no,no,no,cellular,Businessman,92894.00,1.00
708292833,41,Female,2,Graduate,Married,CA,91750,yes,no,no,cellular,Govt,32170.00,3.00
708295533,55,Male,2,Unknown,Single,FL,91750,no,no,no,cellular,Blue-collar,10119.00,2.00
708296883,31,Female,1,Graduate,Single,CA,91750,no,yes,yes,unknown,Selfemployeed,8250.00,1.00
708298233,44,Female,4,High School,Married,NJ,91750,no,no,no,unknown,Blue-collar,15092.00,3.00
708300483,46,Female,4,Doctorate,Married,NY,91750,no,yes,no,cellular,Selfemployeed,1250.00,1.00
708301683,40,Male,4,High School,Unknown,NY,91750,no,yes,no,cellular,Govt,110415.00,2.00
708303108,36,Male,3,High School,Married,NJ,91750,yes,yes,no,cellular,Govt,86574.00,1.00
708307533,37,Male,4,Post-Graduate,Married,NY,91750,yes,no,no,cellular,Govt,51165.00,2.00
708313608,59,Female,1,Graduate,Married,NJ,91750,no,no,no,cellular,Blue-collar,21659.00,3.00
708314808,49,Female,3,Uneducated,Single,TX,91750,no,yes,no,cellular,Selfemployeed,14975.00,3.00
708316008,43,Female,5,Unknown,Single,CA,91750,no,no,no,cellular,Selfemployeed,15806.00,3.00
708319908,56,Male,1,Graduate,Single,TX,91750,yes,yes,no,unknown,Govt,116230.00,3.00
708323208,45,Female,5,Doctorate,Married,TX,91750,no,no,yes,unknown,Businessman,24058.00,1.00
708324483,63,Male,0,Unknown,Unknown,CA,91750,no,no,yes,cellular,Selfemployeed,61485.00,2.00
708330858,51,Female,2,Graduate,Married,TX,91750,no,no,no,unknown,Selfemployeed,1250.00,3.00
708331758,42,Female,3,High School,Single,NY,91750,no,no,yes,telephone,Businessman,41112.00,3.00
708332808,49,Female,4,Uneducated,Married,TX,91750,no,no,no,cellular,Businessman,166923.00,2.00
708334158,51,Female,1,Uneducated,Single,NY,91750,yes,yes,no,unknown,White-collar,34512.00,2.00
708337683,27,Male,0,Graduate,Married,MI,91750,no,no,yes,cellular,Selfemployeed,42779.00,1.00
708338958,42,Male,2,High School,Unknown,FL,91750,no,no,no,cellular,Blue-collar,42334.00,3.00
708340758,53,Male,3,Graduate,Single,NY,91750,yes,no,no,cellular,Businessman,111220.00,2.00
708341958,48,Male,4,Unknown,Married,TX,91750,no,yes,no,cellular,Blue-collar,64665.00,1.00
708344358,44,Female,4,High School,Single,CA,91750,no,yes,yes,cellular,Selfemployeed,11638.00,2.00
708347583,39,Female,0,Graduate,Married,CA,91750,no,yes,no,unknown,Blue-collar,16112.00,2.00
708354858,41,Male,2,Graduate,Married,CA,91750,no,no,no,telephone,Businessman,111730.00,1.00
708355683,46,Female,4,Unknown,Single,NJ,91750,no,no,yes,unknown,Govt,34013.00,1.00
708357183,38,Female,4,Doctorate,Married,CA,91750,no,no,no,unknown,Businessman,38164.00,2.00
708358683,56,Female,1,Graduate,Married,TX,91750,yes,no,no,cellular,Selfemployeed,14975.00,1.00
708360108,40,Male,2,Uneducated,Single,TX,91750,no,yes,yes,cellular,Govt,82412.00,2.00
708361833,55,Female,3,Graduate,Single,CA,91750,no,yes,yes,unknown,White-collar,39861.00,2.00
708367908,42,Male,4,Graduate,Single,TX,91750,no,no,no,cellular,Blue-collar,60037.00,3.00
708369633,47,Male,2,Uneducated,Married,NY,91750,yes,no,no,telephone,Govt,101602.00,1.00
708371733,50,Male,1,High School,Unknown,TX,91750,no,yes,no,cellular,Blue-collar,86281.00,2.00
708373083,41,Female,3,High School,Married,TX,91750,yes,no,no,cellular,Blue-collar,20495.00,2.00
708375858,45,Female,4,Post-Graduate,Single,CA,91750,no,no,no,cellular,Govt,57624.00,1.00
708376983,43,Female,4,Graduate,Unknown,TX,91750,no,yes,no,cellular,Govt,21828.00,3.00
708378108,42,Male,2,Uneducated,Single,NJ,91750,yes,no,no,cellular,White-collar,71834.00,1.00
708382083,35,Female,1,Unknown,Married,TX,91750,no,no,no,cellular,Selfemployeed,30259.00,2.00
708384033,45,Female,1,High School,Unknown,CA,91750,no,no,no,unknown,Blue-collar,28037.00,3.00
708385533,54,Male,1,Post-Graduate,Unknown,NY,91750,no,yes,no,cellular,Govt,119059.00,2.00
708386958,42,Female,5,Graduate,Married,GA,91750,yes,no,no,cellular,Blue-collar,19006.00,3.00
708387933,37,Male,3,High School,Single,TX,91750,no,yes,yes,unknown,Businessman,165306.00,3.00
708390633,49,Male,2,High School,Single,NY,91750,no,no,no,cellular,Retirees,53965.00,1.00
708393633,36,Male,3,Unknown,Single,CA,91750,yes,no,no,cellular,Retirees,71640.00,2.00
708394908,55,Female,3,Post-Graduate,Single,TX,91750,yes,yes,no,cellular,Selfemployeed,45818.00,1.00
708396033,44,Male,3,Unknown,Single,CA,91750,no,no,no,cellular,White-collar,119585.00,1.00
708397008,45,Female,3,High School,Married,CA,91750,no,no,no,telephone,White-collar,57821.00,1.00
708398283,41,Female,3,High School,Unknown,TX,91750,no,yes,no,unknown,Govt,12775.00,3.00
708399858,45,Male,3,Unknown,Married,CA,91750,no,yes,no,cellular,White-collar,76565.00,2.00
708402333,57,Male,3,Unknown,Single,NY,91750,yes,yes,yes,telephone,Govt,78127.00,3.00
708403308,48,Male,3,Uneducated,Single,CA,91750,no,no,no,cellular,Retirees,60111.00,2.00
708404883,49,Female,3,Unknown,Single,NY,91750,no,no,no,unknown,Blue-collar,32229.00,2.00
708406083,57,Male,2,Unknown,Single,CA,91750,no,yes,yes,unknown,Blue-collar,95876.00,2.00
708412758,62,Female,1,Unknown,Married,CA,91750,yes,yes,no,cellular,White-collar,23378.00,2.00
708414033,45,Female,3,Graduate,Single,NY,91750,no,yes,no,cellular,Blue-collar,41115.00,3.00
708416433,53,Female,4,Unknown,Single,NY,91750,no,yes,no,cellular,Blue-collar,28601.00,2.00
708419733,44,Male,3,Graduate,Married,TX,91750,no,yes,no,cellular,Blue-collar,76246.00,3.00
708421833,54,Female,2,High School,Single,NY,91750,no,no,no,cellular,Selfemployeed,6550.00,2.00
708423933,48,Female,1,Doctorate,Married,IA,91750,no,no,no,cellular,Businessman,35491.00,2.00
708426483,60,Female,1,Uneducated,Married,CT,91750,yes,yes,no,cellular,Businessman,38451.00,3.00
708427908,33,Male,3,Graduate,Married,FL,91750,no,no,no,cellular,Blue-collar,72412.00,2.00
708428958,57,Male,3,Graduate,Single,FL,91750,yes,no,no,cellular,White-collar,118175.00,2.00
708431433,41,Female,2,Graduate,Married,CA,91750,no,no,no,telephone,Blue-collar,14633.00,3.00
708433683,62,Male,1,Graduate,Single,FL,91750,no,no,no,cellular,Govt,61002.00,2.00
708434733,52,Female,2,Unknown,Single,FL,91750,no,no,no,cellular,Blue-collar,10627.00,2.00
708438033,41,Male,4,High School,Single,TX,91750,no,no,yes,telephone,Selfemployeed,30828.00,3.00
708442158,42,Female,4,Graduate,Married,CA,91750,yes,no,no,cellular,Businessman,42377.00,2.00
708445608,44,Female,4,Uneducated,Married,FL,91750,no,no,no,cellular,Blue-collar,20389.00,3.00
708446808,51,Female,3,High School,Single,NY,91750,no,yes,no,cellular,Blue-collar,20281.00,3.00
708447858,40,Female,2,High School,Married,MA,91750,yes,yes,no,cellular,Businessman,200276.00,2.00
708450033,38,Male,2,Unknown,Married,CA,91750,yes,no,no,cellular,Businessman,97684.00,3.00
708451233,26,Female,0,Graduate,Single,FL,91750,yes,no,no,cellular,Retirees,40785.00,2.00
708453408,42,Female,3,Graduate,Married,NY,91750,no,yes,no,cellular,Businessman,41039.00,2.00
708455883,33,Female,0,Graduate,Single,TX,91750,no,yes,no,cellular,Selfemployeed,6550.00,2.00
708459633,45,Female,5,Uneducated,Married,NY,91750,no,yes,yes,unknown,Selfemployeed,14975.00,2.00
708462258,54,Female,4,Graduate,Married,NJ,91750,no,no,no,cellular,Businessman,235349.00,2.00
708469533,57,Female,3,Uneducated,Single,FL,91750,no,yes,no,unknown,Selfemployeed,38273.00,3.00
708472008,47,Male,2,Graduate,Married,CA,91750,no,yes,yes,cellular,White-collar,105522.00,2.00
708473133,44,Male,5,Unknown,Married,CA,91750,yes,no,no,cellular,Govt,69787.00,3.00
708474333,50,Male,4,Graduate,Married,TX,91750,no,no,no,unknown,Blue-collar,108894.00,3.00
708476808,55,Female,1,Doctorate,Married,CA,91750,yes,yes,no,cellular,Selfemployeed,5525.00,3.00
708478233,45,Female,2,Uneducated,Married,NY,91750,no,yes,no,unknown,White-collar,58670.00,3.00
708480333,65,Female,0,Uneducated,Single,FL,91750,no,no,no,cellular,Govt,23891.00,3.00
708482658,51,Male,2,Graduate,Married,TX,91750,yes,no,yes,telephone,Businessman,219668.00,2.00
708483708,39,Male,2,Unknown,Married,NJ,91750,yes,no,no,cellular,Blue-collar,58122.00,3.00
708486033,59,Female,0,Doctorate,Single,CA,91750,yes,no,no,cellular,Retirees,15671.00,3.00
708488208,45,Female,3,Uneducated,Married,TX,91750,yes,yes,yes,cellular,Businessman,23898.00,3.00
708489258,56,Female,5,Doctorate,Single,TX,91750,yes,no,no,unknown,Retirees,38817.00,3.00
708491508,46,Female,3,Graduate,Married,NY,91750,no,yes,no,cellular,Businessman,43716.00,2.00
708492558,56,Female,2,Graduate,Single,CA,91750,no,no,no,cellular,Selfemployeed,6550.00,2.00
708494583,48,Female,5,Post-Graduate,Married,CA,91750,no,no,no,cellular,Selfemployeed,41132.00,3.00
708496833,33,Male,1,Graduate,Single,CA,91750,yes,yes,no,cellular,Govt,117520.00,2.00
708498033,45,Female,3,High School,Married,FL,91750,no,yes,no,cellular,White-collar,32495.00,3.00
708499608,43,Female,4,Graduate,Single,NY,91750,no,no,no,cellular,Businessman,48566.00,2.00
708500883,40,Male,4,Unknown,Married,NY,91750,no,yes,no,cellular,Businessman,113841.00,2.00
708501783,35,Female,2,High School,Single,FL,91750,yes,no,no,cellular,Blue-collar,17340.00,3.00
708502908,48,Female,2,Graduate,Married,NJ,91750,yes,no,no,cellular,Blue-collar,45372.00,2.00
708504783,47,Female,3,Uneducated,Married,IL,91750,no,yes,no,unknown,Retirees,37815.00,2.00
708506508,52,Male,1,Uneducated,Single,VA,91750,no,no,yes,cellular,Selfemployeed,83535.00,2.00
708507483,55,Male,4,Unknown,Single,NY,91750,no,no,no,cellular,Blue-collar,78913.00,3.00
708508758,34,Female,4,Uneducated,Single,TX,91750,yes,no,no,cellular,Selfemployeed,1250.00,3.00
708510858,55,Female,2,High School,Single,CA,90025,no,no,no,unknown,Businessman,214404.00,2.00
708511983,48,Male,3,Graduate,Single,CA,91750,yes,yes,no,cellular,Retirees,45977.00,3.00
708513183,40,Female,5,High School,Single,CA,91750,no,no,no,unknown,Selfemployeed,34616.00,3.00
708514383,55,Female,4,Uneducated,Married,FL,91750,no,yes,no,cellular,White-collar,57484.00,2.00
708515358,45,Female,4,High School,Married,TX,91750,no,yes,no,cellular,Businessman,53906.00,2.00
708516558,42,Female,4,Graduate,Married,TX,91750,no,yes,no,cellular,Blue-collar,52148.00,3.00
708519108,47,Female,2,Unknown,Single,CA,91750,yes,yes,no,unknown,Businessman,20597.00,2.00
708522033,36,Female,1,Uneducated,Single,CA,91701,no,yes,no,cellular,Businessman,198343.00,3.00
708525108,34,Male,3,High School,Married,FL,91750,no,no,no,cellular,Govt,50792.00,2.00
708528483,44,Female,2,Graduate,Unknown,FL,91750,no,no,no,cellular,Blue-collar,13010.00,2.00
708532308,40,Female,3,Unknown,Married,CA,91750,yes,yes,no,cellular,Govt,34149.00,2.00
708534033,58,Male,1,Unknown,Married,NJ,91750,no,yes,yes,cellular,Blue-collar,75578.00,2.00
708535158,33,Male,1,Graduate,Single,IA,91750,no,no,no,telephone,White-collar,114717.00,3.00
708536283,36,Female,2,Graduate,Single,NY,91750,no,no,no,cellular,Govt,31226.00,2.00
708538608,50,Female,2,Uneducated,Married,NJ,91750,no,no,yes,telephone,Retirees,48968.00,3.00
708539583,51,Female,1,Post-Graduate,Single,NY,91750,no,yes,no,cellular,Govt,46675.00,3.00
708542283,38,Male,1,Graduate,Single,CA,91750,yes,no,no,cellular,Selfemployeed,60253.00,2.00
708543258,55,Female,2,Doctorate,Single,CA,91750,yes,yes,no,cellular,Businessman,20631.00,2.00
708545058,59,Male,0,High School,Single,NY,91750,yes,no,no,cellular,Govt,94345.00,2.00
708549033,45,Male,4,High School,Married,CA,91750,no,no,no,unknown,Retirees,90458.00,2.00
708551508,41,Male,3,Uneducated,Married,CA,91750,no,no,no,cellular,Selfemployeed,87971.00,2.00
708553008,49,Male,4,Doctorate,Married,NJ,91750,yes,no,no,cellular,Govt,74928.00,1.00
708555633,51,Male,3,Uneducated,Married,CA,90025,no,no,no,unknown,Businessman,203890.00,2.00
708557358,44,Female,4,Graduate,Single,NY,91750,no,no,yes,cellular,Businessman,18357.00,2.00
708558408,48,Male,3,Unknown,Married,NY,91750,no,no,no,cellular,Selfemployeed,41925.00,3.00
708559533,43,Male,1,High School,Married,TX,91750,yes,no,yes,cellular,Businessman,62768.00,2.00
708560733,37,Male,3,High School,Single,CA,91750,no,yes,no,cellular,Govt,75192.00,3.00
708563433,40,Female,2,Uneducated,Married,FL,91750,no,no,no,unknown,Selfemployeed,14975.00,3.00
708564858,54,Male,2,Unknown,Married,FL,91750,no,yes,no,unknown,White-collar,118629.00,1.00
708568983,53,Male,3,Unknown,Married,FL,91750,no,yes,no,cellular,Govt,111225.00,3.00
708572658,51,Female,3,Graduate,Married,CA,90250,yes,no,no,cellular,Businessman,196200.00,1.00
708573933,50,Female,3,Post-Graduate,Single,IL,91750,yes,yes,no,cellular,Businessman,183118.00,2.00
708575058,50,Female,0,Post-Graduate,Married,TX,91750,yes,yes,no,cellular,Businessman,36188.00,3.00
708577308,58,Male,0,Graduate,Single,CA,91750,no,no,no,cellular,Selfemployeed,14975.00,2.00
708579633,51,Female,1,Doctorate,Married,TX,91750,no,yes,no,cellular,Blue-collar,13704.00,1.00
708580908,41,Female,2,Graduate,Married,TX,91750,yes,no,yes,cellular,Selfemployeed,12686.00,3.00
708582858,47,Female,1,Doctorate,Married,NY,91750,yes,no,no,cellular,Blue-collar,33801.00,2.00
708584208,44,Female,2,Graduate,Single,TX,91750,no,yes,no,cellular,Retirees,26226.00,2.00
708585933,37,Male,2,Unknown,Single,NY,91750,no,yes,no,cellular,Blue-collar,55576.00,1.00
708588408,51,Male,3,High School,Married,CA,91750,yes,yes,no,cellular,Businessman,61579.00,3.00
708590658,39,Female,4,High School,Single,CA,91750,yes,yes,no,cellular,Selfemployeed,14975.00,3.00
708593883,35,Female,0,Doctorate,Married,TX,91750,no,yes,no,unknown,White-collar,16316.00,3.00
708595158,45,Female,4,Uneducated,Married,CA,91750,yes,yes,no,cellular,Govt,26447.00,2.00
708596283,56,Female,3,Graduate,Single,FL,91750,yes,yes,no,unknown,Selfemployeed,32924.00,1.00
708597558,49,Male,5,Doctorate,Single,CA,91750,no,yes,yes,cellular,Blue-collar,45984.00,2.00
708600033,55,Male,2,Unknown,Single,NY,91750,no,yes,no,unknown,Businessman,87531.00,2.00
708602283,47,Female,4,Unknown,Married,CA,91750,yes,no,no,cellular,Govt,45701.00,1.00
708606633,65,Male,0,Graduate,Single,CA,91750,no,yes,no,cellular,White-collar,18114.00,3.00
708611733,37,Male,3,Doctorate,Single,FL,91750,no,yes,yes,cellular,Govt,73096.00,3.00
708614058,40,Male,3,Unknown,Single,NJ,91750,no,no,no,cellular,Govt,44044.00,1.00
708615183,48,Male,3,Graduate,Married,NJ,91750,no,yes,no,cellular,Govt,68693.00,3.00
708618933,36,Female,4,Graduate,Single,CA,91750,yes,no,no,unknown,Govt,35767.00,1.00
708620283,48,Female,2,Graduate,Single,NY,91750,yes,yes,no,unknown,White-collar,23554.00,1.00
708621408,47,Female,3,High School,Single,NY,91750,yes,yes,no,cellular,Govt,52557.00,2.00
708623283,31,Female,0,Graduate,Single,NY,91750,yes,no,no,unknown,Blue-collar,21274.00,3.00
708626058,53,Male,3,Unknown,Married,NJ,91750,no,no,no,cellular,Govt,50213.00,3.00
708633783,33,Female,3,Graduate,Married,FL,91750,no,yes,no,cellular,Blue-collar,16244.00,2.00
708635058,41,Male,3,Graduate,Single,CA,91750,no,no,no,cellular,Govt,78702.00,2.00
708637758,27,Female,1,Unknown,Single,MI,91750,no,no,no,cellular,White-collar,38269.00,1.00
708642708,28,Male,0,Post-Graduate,Married,NJ,91750,yes,no,no,cellular,Selfemployeed,14975.00,3.00
708644208,40,Female,1,Uneducated,Married,CA,91750,no,no,no,telephone,Retirees,36638.00,1.00
708646233,35,Female,1,Uneducated,Married,NJ,91750,no,no,no,cellular,Blue-collar,39538.00,2.00
708649683,51,Female,3,Doctorate,Married,CA,90250,yes,yes,no,unknown,Businessman,214064.00,1.00
708651933,56,Female,1,Graduate,Single,CA,91750,yes,yes,no,unknown,White-collar,25413.00,2.00
708652908,42,Male,3,Uneducated,Single,TX,91750,no,no,no,cellular,White-collar,65425.00,2.00
708653958,60,Female,1,High School,Single,TX,91750,yes,yes,yes,unknown,Businessman,30594.00,3.00
708654933,27,Female,1,High School,Single,FL,91750,no,yes,no,unknown,White-collar,20322.00,1.00
708655983,42,Female,2,Graduate,Unknown,TX,91750,yes,yes,no,cellular,Blue-collar,12264.00,1.00
708657033,38,Female,1,Unknown,Married,NJ,91750,yes,no,no,cellular,White-collar,43330.00,2.00
708660408,57,Female,1,Graduate,Married,TX,91750,no,no,no,unknown,Businessman,27897.00,2.00
708662583,53,Male,1,Graduate,Single,NJ,91750,no,no,no,unknown,Businessman,113458.00,2.00
